cia_id,cia_denominacion,cia_cuit,cia_sociedad_tipo,cia_actividad_principal
2,SMG COMPAÑÍA ARGENTINA DE SEGUROS SAU,30500031960,Sociedad Anónima,Seguros Generales
6,EL SURCO COMPAÑÍA DE SEGUROS SOCIEDAD ANONIMA,30500039430,Sociedad Anónima,Seguros Generales
7,CAMINOS PROTEGIDOS  COMPAÑÍA DE SEGUROS S.A.,30500043357,Sociedad Anónima,Seguros Generales
25,SEGUROS GALICIA S.A.,30500000127,Sociedad Anónima,Seguros Generales
36,ALLIANZ ARGENTINA COMPAÑIA DE SEGUROS S.A.,30500037217,Sociedad Anónima,Seguros Generales
39,ZURICH ASEGURADORA ARGENTINA S.A.,30500036393,Sociedad Anónima,Seguros Generales
40,PRUDENCIA COMPAÑIA ARGENTINA DE SEGUROS GENERALES SOCIEDAD ANÓNIMA,30500043594,Sociedad Anónima,Seguros Generales
44,LA EQUITATIVA DEL PLATA SOCIEDAD ANONIMA DE SEGUROS,30515419760,Sociedad Anónima,Seguros Generales
64,COMPAÑIA ARGENTINA DE SEGUROS VICTORIA SOCIEDAD ANONIMA,30500032266,Sociedad Anónima,Seguros Generales
79,LA HOLANDO SUDAMERICANA COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,33500038069,Sociedad Anónima,Seguros Generales
80,EDIFICAR SEGUROS SOCIEDAD ANÓNIMA,30620833173,Sociedad Anónima,Seguros Generales
116,COMPAÑIA DE SEGUROS LA MERCANTIL ANDINA SOCIEDAD ANONIMA,30500036911,Sociedad Anónima,Seguros Generales
117,LA SEGUNDA COMPAÑIA DE SEGUROS DE PERSONAS SOCIEDAD ANÓNIMA,30500034625,Sociedad Anónima,Vida
121,BERKLEY INTERNATIONAL SEGUROS SOCIEDAD ANONIMA,30500035788,Sociedad Anónima,Seguros Generales
136,COMPAÑÍA MERCANTIL ASEGURADORA SOCIEDAD ANONIMA ARGENTINA DE SEGUROS,30500032193,Sociedad Anónima,Seguros Generales
141,COMPAÑÍA DE SEGUROS EL NORTE SOCIEDAD ANONIMA,30500040455,Sociedad Anónima,Seguros Generales
157,LA PERSEVERANCIA SEGUROS SOCIEDAD ANONIMA,30500032886,Sociedad Anónima,Seguros Generales
158,LA DULCE COOPERATIVA DE SEGUROS LIMITADA,30500041443,Cooperativa,Seguros Generales
163,LA NUEVA COOPERATIVA DE SEGUROS LIMITADA,30500041133,Cooperativa,Seguros Generales
192,SAN CRISTÓBAL SOCIEDAD MUTUAL DE SEGUROS GENERALES,34500045339,Mutual,Seguros Generales
196,COOPERACION MUTUAL PATRONAL SOCIEDAD MUTUAL DE SEGUROS GENERALES,30500047174,Mutual,Seguros Generales
199,ASOCIACION MUTUAL DAN,30500045198,Mutual,Seguros Generales
202,AMERICAN HOME ASSURANCE COMPANY (SUCURSAL ARGENTINA),30609645977,Sucursal,Reaseg. Local
209,ASSURANT ARGENTINA COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,30500045406,Sociedad Anónima,Seguros Generales
213,MAPFRE ARGENTINA SEGUROS S.A.,30500007539,Sociedad Anónima,Seguros Generales
216,SEGURCOOP COOPERATIVA DE SEGUROS LIMITADA,30500057277,Cooperativa,Seguros Generales
222,SEGUROS BERNARDINO RIVADAVIA COOPERATIVA LIMITADA,30500050310,Cooperativa,Seguros Generales
224,SANCOR COOPERATIVA DE SEGUROS LIMITADA,30500049460,Cooperativa,Seguros Generales
227,COMPAÑIA DE SEGUROS EUROAMERICA S.A.,30500049916,Sociedad Anónima,Seguros Generales
228,ZURICH ARGENTINA COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,30500049770,Sociedad Anónima,Seguros Generales
229,WARRANTY INSURANCE COMPANY ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,30500050000,Sociedad Anónima,Seguros Generales
236,EVOLUCIÓN SEGUROS S.A.,30500050620,Sociedad Anónima,Seguros Generales
241,ARGOS COMPAÑÍA ARGENTINA DE SEGUROS GENERALES SOCIEDAD ANÓNIMA,30500050795,Sociedad Anónima,Seguros Generales
244,LA MERIDIONAL COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,30500051163,Sociedad Anónima,Seguros Generales
246,ANTARTIDA COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,30500051309,Sociedad Anónima,Seguros Generales
247,NATIVA COMPAÑIA ARGENTINA DE SEGUROS S.A.,30500051856,Sociedad Anónima,Seguros Generales
248,COPAN COOPERATIVA DE SEGUROS LIMITADA,30500051929,Cooperativa,Seguros Generales
251,LIFE SEGUROS DE PERSONAS Y PATRIMONIALES S.A.,30500051546,Sociedad Anónima,Seguros Generales
253,FIANZAS Y CREDITO S. A. COMPAÑIA DE SEGUROS,30500055053,Sociedad Anónima,Seguros Generales
254,INSTITUTO AUTÁRQUICO PROVINCIAL DEL SEGURO,30500055509,Organismo Oficial,Seguros Generales
259,CAJA POPULAR DE AHORROS DE LA PROVINCIA DE TUCUMAN,30517999551,Organismo Oficial,Seguros Generales
