marca,modelo,tipo_dnrpa,tipo_sistema
APPIA,ANDINA 110,MOTOCICLETA,Moto
APPIA,BERAKA 125,MOTOCICLETA,Moto
APPIA,BLESS 150,MOTOCICLETA,Moto
APPIA,BREZZA 150,MOTOCICLETA,Moto
APPIA,BREZZA EURO 150,MOTOCICLETA,Moto
APPIA,CITIPLUS 110,MOTOCICLETA,Moto
APPIA,CITIPLUS 110 T,MOTOCICLETA,Moto
APPIA,CITIPLUS110,MOTOCICLETA,Moto
APPIA,DCN 110,MOTOCICLETA,Moto
APPIA,GEREMY 125,MOTOCICLETA,Moto
APPIA,HARDWIND 200,MOTOCICLETA,Moto
APPIA,LEYENDA 150,MOTOCICLETA,Moto
APPIA,MONTERO 150,MOTOCICLETA,Moto
APPIA,REGIA 125,MOTOCICLETA / SCOOTER,Moto
APPIA,STRONGER 150,MOTOCICLETA,Moto
APPIA,STRONGER 250,MOTOCICLETA,Moto
APPIA,VECTRA 110,MOTOCICLETA,Moto
APPIA,VECTRA 110 N,MOTOCICLETA,Moto
APRILIA,APRILIA SR 160,MOTONETA / SCOOTER,Moto
APRILIA,DORSODURO 900,MOTOCICLETA,Moto
APRILIA,RSV4 RF,MOTOCICLETA,Moto
APRILIA,RSV4 RR,MOTOCICLETA,Moto
APRILIA,SHIVER 750 ABS,MOTOCICLETA,Moto
APRILIA,SHIVER 900,MOTOCICLETA,Moto
APRILIA,STX150,MOTOCICLETA,Moto
APRILIA,SXR 160,MOTONETA / SCOOTER,Moto
APRILIA,TUAREG 660,MOTOCICLETA,Moto
APRILIA,TUONO 457,MOTOCICLETA,Moto
APRILIA,TUONO V4 1100 FACTORY,MOTOCICLETA,Moto
APRILIA,TUONO V4 1100 RR,MOTOCICLETA,Moto
APRILIA,TUONO V4 FACTORY,MOTOCICLETA,Moto
APRILIA,TUONO V4 RR,MOTOCICLETA,Moto
ARIIC,ARIIC 318,MOTONETA / SCOOTER,Moto
BAJAJ,AVENGER 200,MOTOCICLETA,Moto
BAJAJ,AVENGER 220,MOTOCICLETA,Moto
BAJAJ,BOXER BM 150,MOTOCICLETA,Moto
BAJAJ,BOXER CT 100,MOTOCICLETA,Moto
BAJAJ,DISCOVER 125,MOTOCICLETA,Moto
BAJAJ,DOMINAR 250,MOTOCICLETA,Moto
BAJAJ,DOMINAR D400,MOTOCICLETA,Moto
BAJAJ,PULSAR 150,MOTOCICLETA,Moto
BAJAJ,PULSAR 180,MOTOCICLETA,Moto
BAJAJ,PULSAR 200,MOTOCICLETA,Moto
BAJAJ,ROUSER 125 LS,MOTOCICLETA,Moto
BAJAJ,ROUSER 135,MOTOCICLETA,Moto
BAJAJ,ROUSER 135 LS,MOTOCICLETA,Moto
BAJAJ,ROUSER 135LS,MOTOCICLETA,Moto
BAJAJ,ROUSER 180,MOTOCICLETA,Moto
BAJAJ,ROUSER 200,MOTOCICLETA,Moto
BAJAJ,ROUSER 220,MOTOCICLETA,Moto
BAJAJ,ROUSER AS 200,MOTOCICLETA,Moto
BAJAJ,ROUSER N 250,MOTOCICLETA,Moto
BAJAJ,ROUSER NS 125,MOTOCICLETA,Moto
BAJAJ,ROUSER NS 150,MOTOCICLETA,Moto
BAJAJ,ROUSER NS 160,MOTOCICLETA,Moto
BAJAJ,ROUSER NS 200 FI ABS,MOTOCICLETA,Moto
BAJAJ,ROUSER NS 400 Z,MOTOCICLETA,Moto
BAJAJ,ROUSER P 150,MOTOCICLETA,Moto
BAJAJ,ROUSER RS 200,MOTOCICLETA,Moto
BAJAJ,ROUSER220F,MOTOCICLETA,Moto
BAJAJ,V 15,MOTOCICLETA,Moto
BAJAJ,XCD125,MOTOCICLETA,Moto
BENELLI,180 S,MOTOCICLETA,Moto
BENELLI,302 R,MOTOCICLETA,Moto
BENELLI,302 S,MOTOCICLETA,Moto
BENELLI,502C,MOTOCICLETA,Moto
BENELLI,752S,MOTOCICLETA,Moto
BENELLI,CAFFENERO,MOTOCICLETA,Moto
BENELLI,IMPERIALE 400,MOTOCICLETA,Moto
BENELLI,LEONCINO 250,MOTOCICLETA,Moto
BENELLI,LEONCINO 500,MOTOCICLETA,Moto
BENELLI,LEONCINO 800 TRAIL,MOTOCICLETA,Moto
BENELLI,SETA,SCOOTER,Moto
BENELLI,TNT 135,MOTOCICLETA,Moto
BENELLI,TNT 600,MOTOCICLETA,Moto
BENELLI,TNT15,MOTOCICLETA,Moto
BENELLI,TNT25,MOTOCICLETA,Moto
BENELLI,TNT300,MOTOCICLETA,Moto
BENELLI,TNT600GT,MOTOCICLETA,Moto
BENELLI,TRK 251,MOTOCICLETA,Moto
BENELLI,TRK 502,MOTOCICLETA,Moto
BENELLI,TRK 502 X,MOTOCICLETA,Moto
BENELLI,TRK 702,MOTOCICLETA,Moto
BENELLI,TRK 702X,MOTOCICLETA,Moto
BENELLI,ZAFFERANO,SCOOTER,Moto
BETA,ARK,SCOOTER,Moto
BETA,ARROW 150,SCOOTER,Moto
BETA,ARROW 80,SCOOTER,Moto
BETA,BK150,MOTOCICLETA,Moto
BETA,BS110-1,MOTOCICLETA,Moto
BETA,EIKON,MOTOCICLETA / SCOOTER,Moto
BETA,ENDURO,CICLOMOTOR,Moto
BETA,EURO,CUATRICICLO / MOTOCICLETA,Moto
BETA,LX250-8,MOTOCICLETA,Moto
BETA,MINICROSS,MOTOCICLETA,Moto
BETA,QM 125 T 10V,SCOOTER,Moto
BETA,QM 200 GY,MOTOCICLETA,Moto
BETA,QM200GY CHRONO,MOTOCICLETA,Moto
BETA,QM200GY CRHONO,MOTOCICLETA,Moto
BETA,QM200GY MOTARD 2.0,MOTOCICLETA,Moto
BETA,QM200GY TR2.0,MOTOCICLETA,Moto
BETA,QUADRA,SCOOTER,Moto
BETA,RR450,MOTOCICLETA,Moto
BETA,TEMPO,SCOOTER,Moto
BETA,ZONTES 350 E,SCOOTER,Moto
BETA,ZONTES 350 GK,MOTOCICLETA,Moto
BETA,ZONTES 350 M,SCOOTER,Moto
BETA,ZONTES 350 R,MOTOCICLETA,Moto
BETA,ZONTES 350 V,MOTOCICLETA,Moto
BETA,ZONTES 350 X,MOTOCICLETA,Moto
BETA,ZT310R,MOTOCICLETA,Moto
BETA,ZT310T,MOTOCICLETA,Moto
BETA,ZT310V,MOTOCICLETA,Moto
BETA,ZT310X,MOTOCICLETA,Moto
BETAMOTOR,AKVO,MOTOCICLETA,Moto
BETAMOTOR,ARROW,MOTONETA / SCOOTER,Moto
BETAMOTOR,BK,MOTOCICLETA,Moto
BETAMOTOR,BOY,MOTOCICLETA,Moto
BETAMOTOR,BS 110-1,MOTOCICLETA,Moto
BETAMOTOR,CHRONO 2.5,MOTOCICLETA,Moto
BETAMOTOR,ENDURO MX 50,MOTOCICLETA,Moto
BETAMOTOR,FOUR,MOTOCICLETA,Moto
