tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1146,MERLO Nº 2,Buenos Aires,Protocolo 21,2025,80,PICK-UP CABINA SIMPLE,136,VOLKSWAGEN,785,NUEVO SAVEIRO TRENDLINE CS MSI MT,1,Privado,Jurídica,SAN MIGUEL,BUENOS AIRES,No aplica,2002,No aplica,100,06,
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1146,MERLO Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A2,AMAROK COMFORTLINE V6 AT 4X4 G2,0,Oficial,Física,MERCEDES,BUENOS AIRES,Femenino,1970,ARGENTINA,50,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1146,MERLO Nº 2,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,B0,TAOS COMFORTLINE 250TSI AT,1,Privado,Física,CASTELAR,BUENOS AIRES,Femenino,1986,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1149,LA PLATA Nº 06,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,044,FIAT,946,PULSE IMPETUS 1.0T CVT,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1987,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Nacional,2025,26,CHASIS CON CABINA,AN,FOTON,05,AUMARK S1 614,1,Privado,Jurídica,BERNAL,BUENOS AIRES,No aplica,2023,No aplica,100,06,
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Nacional,2025,26,CHASIS CON CABINA,AN,FOTON,05,AUMARK S1 614,1,Privado,Jurídica,BERNAL,BUENOS AIRES,No aplica,2023,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2009,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Importado,2024,91,CHASIS C/CABINA DORMITORIO,F82,FOTON,034,AUMAN ESTM 270,1,Privado,Física,SAN JOSÉ,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,LANÚS OESTE,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1150,AVELLANEDA Nº 3,Buenos Aires,Importado,2025,05,SEDAN 5 PUERTAS,072,KIA,362,K3 CROSS GT-LINE 1.6 A/T,1,Privado,Física,GERLI,BUENOS AIRES,Femenino,1965,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2025,02,SEDAN 4 PUERTAS,024,CHEVROLET,833,ONIX PLUS 1.0T LT MT,1,Privado,Física,VILLA DOMINICO,BUENOS AIRES,Masculino,1953,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,B0,TAOS COMFORTLINE 250TSI AT,1,Privado,Física,GERLI,BUENOS AIRES,Masculino,1973,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2025,82,PICK-UP CABINA DOBLE,024,CHEVROLET,776,S10 CD 2.8 TD 4X4 LT AT,1,Privado,Física,SARANDÍ,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,024,CHEVROLET,816,TRACKER 1.2T AT RS,1,Privado,Física,PIÑEYRO,BUENOS AIRES,Masculino,1955,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,024,CHEVROLET,816,TRACKER 1.2T AT RS,1,Privado,Física,GERLI,BUENOS AIRES,Masculino,1985,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,807,NIVUS HIGHLINE 200 TSI AT G1,1,Privado,Física,PASO DE LA PATRIA,BUENOS AIRES,Masculino,1989,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,024,CHEVROLET,780,TRACKER 1.2T MT,1,Privado,Física,ROSARIO,BUENOS AIRES,Masculino,1991,VENEZUELA,100,06,226
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1153,LA MATANZA Nº 05,Buenos Aires,Protocolo 21,2025,17,CHASIS C/CABINA,063,IVECO,588,TECTOR 17-210,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1153,LA MATANZA Nº 05,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,024,CHEVROLET,778,TRACKER 1.2T AT LTZ,1,Privado,Física,SAN JUSTO,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1153,LA MATANZA Nº 05,Buenos Aires,Nacional,2025,17,SEDAN 5 PUERTAS,37,RENAULT,3G,KANGOO II STEPWAY 1.6 SCE,1,Privado,Física,VILL CELINA,BUENOS AIRES,Masculino,1984,BOLIVIA,100,06,202
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1154,LA MATANZA Nº 06,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A2,AMAROK COMFORTLINE V6 AT 4X4 G2,1,Privado,Física,ENSENADA GRANDE,BUENOS AIRES,Femenino,1979,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1156,HURLINGHAM Nº 1 (EX. MORON Nº 4 RESOL. MJS. Y DHNº 1487/09),Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,136,VOLKSWAGEN,800,T-CROSS TRENDLINE 200TSI AT G1,1,Privado,Física,C.AUTONOMA DE BS.AS,BUENOS AIRES,Femenino,1989,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1157,MORON Nº 05,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A4,AMAROK COMFORTLINE TDI AT 4X2 G2,1,Privado,Física,BELÉN DE ESCOBAR,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1157,MORON Nº 05,Buenos Aires,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UV,208 ALLURE AT AM25.5,1,Privado,Física,EL PALOMAR,BUENOS AIRES,Masculino,1973,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1157,MORON Nº 05,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A12,YARIS XS 1.5 6M/T,1,Privado,Física,VILLA GENERAL  BELGRANO,BUENOS AIRES,Femenino,1985,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1157,MORON Nº 05,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,B90,YARIS XS 1.5 CVT,1,Privado,Física,VILLA SARMIENTO,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1159,TRES ARROYOS Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,CR,HILUX 4X4 DC SR 2.8 TDI 6 AT,1,Privado,Jurídica,TRES ARROYOS,BUENOS AIRES,No aplica,2017,No aplica,100,06,
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1159,TRES ARROYOS Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1,Privado,Física,TRES ARROYOS,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1159,TRES ARROYOS Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1,Privado,Física,TRES ARROYOS,BUENOS AIRES,Masculino,1962,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1163,MAR DEL PLATA Nº 05,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,136,VOLKSWAGEN,800,T-CROSS TRENDLINE 200TSI AT G1,1,Privado,Jurídica,MAR DEL PLATA,BUENOS AIRES,No aplica,2011,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1163,MAR DEL PLATA Nº 05,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,024,CHEVROLET,778,TRACKER 1.2T AT LTZ,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1957,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1163,MAR DEL PLATA Nº 05,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,C05,YARIS XLS+ 1.5 CVT 5P,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Femenino,1979,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1163,MAR DEL PLATA Nº 05,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,C14,COROLLA CROSS XLI SAFETY 2.0 CVT,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1942,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1163,MAR DEL PLATA Nº 05,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,B90,YARIS XS 1.5 CVT,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1163,MAR DEL PLATA Nº 05,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,CR,HILUX 4X4 DC SR 2.8 TDI 6 AT,1,Privado,Física,COMODORO RIVADAVIA,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1164,MAR DEL PLATA Nº 06,Buenos Aires,Nacional,2025,90,MINIBUS (O MICROOMNIBUS),68,TOYOTA,CZ,HIACE COMMUTER 2.8 TDI 6AT 14A,1,Privado,Física,SANTA TERESITA,BUENOS AIRES,Masculino,1989,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1164,MAR DEL PLATA Nº 06,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Femenino,1986,ARGENTINA,50,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1164,MAR DEL PLATA Nº 06,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,BG,HILUX 4X4 DC SRV 2.8 TDI 6 AT,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1965,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1166,MUNICIPIO URBANO DE LA COSTA,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,34,PEUGEOT,UW,2008 ACTIVE T200 AM25,1,Privado,Física,MAR DE AJÓ,BUENOS AIRES,Femenino,1960,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1168,MORON Nº 06,Buenos Aires,Importado,2024,04,RURAL 5 PUERTAS,055,HONDA,J49,CR-V LX 2WD RS3,1,Privado,Jurídica,QUILMES,BUENOS AIRES,No aplica,1979,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1168,MORON Nº 06,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,055,HONDA,J43,HR-V RV3 3M7 EXL,1,Privado,Física,CASTELAR,BUENOS AIRES,Femenino,1975,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1168,MORON Nº 06,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,055,HONDA,J43,HR-V RV3 3M7 EXL,1,Privado,Física,HURLINGHAM,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1168,MORON Nº 06,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,8E,TAOS COMFORTLINE 250 TSI AT,1,Privado,Física,C. LIBERTADOR  GRAL JOSE DE SAN MARTIN,BUENOS AIRES,Masculino,1996,CHINA,100,06,310
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1170,NECOCHEA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,BG,HILUX 4X4 DC SRV 2.8 TDI 6 AT,1,Privado,Física,CLARAZ,BUENOS AIRES,Masculino,1959,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1170,NECOCHEA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A2,AMAROK COMFORTLINE V6 AT 4X4 G2,1,Privado,Física,NECOCHEA,BUENOS AIRES,Masculino,1979,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1174,LA MATANZA Nº 07,Buenos Aires,Nacional,2025,31,SEMIRREMOLQUE,69,BONANO,FD,SEMIRREMOLQUE PAQUETERO 3D <45 T,1,Privado,Física,RAFAEL CASTILLO,BUENOS AIRES,Masculino,1955,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1176,SAN ISIDRO Nº 05,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,806,NIVUS OUTFIT 200 TSI AT G1,1,Privado,Física,BOULOGNE SUR MER,BUENOS AIRES,Masculino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1177,LOMAS DE ZAMORA Nº 6,Buenos Aires,Nacional,2025,22,FURGON,37,RENAULT,6C,KANGOO EXPRESS 5A 1.6 SCE 114,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1177,LOMAS DE ZAMORA Nº 6,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1178,LA MATANZA Nº 08,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,RAMOS MEJÍA,BUENOS AIRES,Femenino,1974,ARGENTINA,100,06,200
